emp_ID,emp_NAME,DEPT_NAME,SALARY,next_emp_salary
101,Mohan,Admin,4000,4000
108,Maryam,Admin,4000,2000
113,Gautham,Admin,2000,5000
120,Monica,Admin,5000,0
104,Dorvin,Finance,6500,5000
106,Rajesh,Finance,5000,6500
116,Satya,Finance,6500,5500
118,Tejaswi,Finance,5500,0
102,Rajkumar,HR,3000,3000
105,Rohit,HR,3000,7000
107,Preet,HR,7000,3000
114,Manisha,HR,3000,3500
117,Adarsh,HR,3500,8000
119,Cory,HR,8000,0
103,Akbar,IT,4000,6500
109,Sanjay,IT,6500,7000
110,Vasudha,IT,7000,8000
111,Melinda,IT,8000,10000
112,Komal,IT,10000,4500
115,Chandni,IT,4500,6000
121,Rosalin,IT,6000,8000
122,Ibrahim,IT,8000,8000
123,Vikram,IT,8000,11000
124,Dheeraj,IT,11000,0
