emp_ID,emp_NAME,DEPT_NAME,SALARY,rnk,dense_rnk,row_num
120,Monica,Admin,5000,1,1,1
101,Mohan,Admin,4000,2,2,2
108,Maryam,Admin,4000,2,2,3
113,Gautham,Admin,2000,4,3,4
104,Dorvin,Finance,6500,1,1,1
116,Satya,Finance,6500,1,1,2
118,Tejaswi,Finance,5500,3,2,3
106,Rajesh,Finance,5000,4,3,4
119,Cory,HR,8000,1,1,1
107,Preet,HR,7000,2,2,2
117,Adarsh,HR,3500,3,3,3
102,Rajkumar,HR,3000,4,4,4
105,Rohit,HR,3000,4,4,5
114,Manisha,HR,3000,4,4,6
124,Dheeraj,IT,11000,1,1,1
112,Komal,IT,10000,2,2,2
111,Melinda,IT,8000,3,3,3
122,Ibrahim,IT,8000,3,3,4
123,Vikram,IT,8000,3,3,5
110,Vasudha,IT,7000,6,4,6
109,Sanjay,IT,6500,7,5,7
121,Rosalin,IT,6000,8,6,8
115,Chandni,IT,4500,9,7,9
103,Akbar,IT,4000,10,8,10
